Generation, Best body lengths, Average body length
0, 2, 1
1, 3, 1
2, 3, 1
3, 3, 1
4, 3, 1
5, 4, 1
6, 4, 1
7, 4, 1
8, 3, 1
9, 4, 1
10, 7, 1
11, 5, 1
12, 4, 1
13, 5, 1
14, 5, 1
15, 5, 1
16, 5, 1
17, 5, 1
18, 4, 1
19, 11, 1
20, 15, 2
21, 13, 1
22, 10, 2
23, 12, 2
24, 15, 2
25, 13, 2
26, 18, 2
27, 13, 3
28, 18, 4
29, 19, 4
30, 19, 5
31, 20, 5
32, 18, 5
33, 21, 5
34, 24, 5
35, 27, 5
36, 25, 6
37, 25, 6
38, 24, 6
39, 25, 5
40, 24, 5
41, 25, 5
42, 26, 6
43, 22, 6
44, 26, 6
45, 28, 6
46, 37, 8
47, 30, 8
48, 30, 8
49, 27, 7
50, 30, 8
51, 31, 8
52, 27, 8
53, 25, 7
54, 29, 8
55, 30, 8
56, 31, 8
57, 25, 8
58, 30, 8
59, 31, 9
60, 40, 9
61, 35, 8
62, 34, 9
63, 32, 10
64, 29, 8
65, 33, 9
66, 35, 8
67, 30, 8
68, 35, 9
69, 33, 9
70, 33, 11
71, 36, 10
72, 36, 11
73, 34, 12
74, 39, 11
75, 38, 11
76, 33, 11
77, 35, 13
78, 38, 13
79, 42, 13
80, 37, 13
81, 40, 13
82, 39, 14
83, 40, 14
84, 36, 14
85, 34, 13
86, 36, 14
87, 41, 12
88, 36, 14
89, 39, 14
90, 37, 14
91, 37, 13
92, 40, 14
93, 38, 16
94, 40, 14
95, 41, 16
96, 42, 14
97, 39, 14
98, 37, 15
99, 42, 16
100, 44, 15
101, 45, 15
102, 35, 16
103, 44, 15
104, 40, 15
105, 47, 15
106, 40, 15
107, 36, 14
108, 42, 15
109, 42, 15
110, 37, 15
111, 43, 15
112, 43, 15
113, 36, 12
114, 43, 14
115, 38, 11
116, 33, 14
117, 42, 14
118, 37, 13
119, 40, 13
120, 39, 13
121, 38, 13
122, 37, 15
123, 39, 15
124, 46, 13
125, 42, 15
126, 40, 14
127, 41, 15
128, 40, 14
129, 40, 14
130, 41, 14
131, 39, 13
132, 42, 16
133, 38, 14
134, 39, 14
135, 36, 13
136, 39, 14
137, 47, 15
138, 39, 16
139, 43, 16
140, 38, 16
141, 39, 15
142, 43, 15
143, 38, 16
144, 37, 16
145, 43, 16
146, 41, 16
